text,condition,record_type
Cat is constantly licking at her knee joint.,Mobility Problems,Owner Observation
Dog started holding up his back right leg after chasing a squirrel.,Mobility Problems,Owner Observation
"My puppy is a breed with heavy, floppy ears that don't get good airflow.",Ear Infections,Owner Observation
My dog has arthritis diagnosed by the vet.,Mobility Problems,Owner Observation
Gastric irritation; start famotidine therapy.,Digestive Issues,Clinical Notes
Cranial drawer test equivocal; tibial compression test positive LH stifle. Probable CCL tear.,Mobility Problems,Clinical Notes
Cuterebra larva removed from subcutaneous swelling.,Parasites,Clinical Notes
Pythiosis suspected based on GI thickening and regional lymphadenopathy.,Digestive Issues,Clinical Notes
Hamster has hair loss around its scent glands.,Skin Irritations,Owner Observation
Diarrhea with mucus; test for giardia.,Digestive Issues,Clinical Notes
Cat likely has a muscle sprain or strain causing limping.,Mobility Problems,Owner Observation
My bird is lethargic and its droppings look abnormal.,Parasites,Owner Observation
My rabbit has developed a swelling near the base of its ear.,Ear Infections,Owner Observation
My rabbit has fly eggs visible on its soiled rear end.,Skin Irritations,Owner Observation
"My puppy has persistent diarrhea, vet found coccidia.",Parasites,Owner Observation
Prescribe ponazuril for Coccidia treatment.,Parasites,Clinical Notes
"Cat is scratching near, but not directly in, the ear.",Ear Infections,Owner Observation
Cat has a middle ear infection causing neurological signs.,Ear Infections,Owner Observation
Cat has developed a head tilt suddenly.,Ear Infections,Owner Observation
"Prescribe systemic antibiotics (e.g., cephalexin, clindamycin) for deep pyoderma.",Skin Irritations,Clinical Notes
"Ferret has dark, coffee ground-like debris in his ears.",Ear Infections,Owner Observation
My cat has difficulty swallowing.,Digestive Issues,Owner Observation
Educate owner on recognizing early signs of skin infection.,Skin Irritations,Clinical Notes
"Dog raided the kitchen bin last night, now has terrible diarrhea.",Digestive Issues,Owner Observation
"Ferret has waxy debris, possibly ear mites.",Ear Infections,Owner Observation
"Ferret has very thick, dark, waxy buildup in both ears.",Ear Infections,Owner Observation
Rabbit has ear mites causing head tilt.,Parasites,Owner Observation
"Prescribe systemic antibiotics (e.g., clindamycin, enrofloxacin) for suspected otitis media.",Ear Infections,Clinical Notes
Puppy got water in his ears playing with the hose.,Ear Infections,Owner Observation
Calculate RER and adjust caloric intake to achieve/maintain ideal body weight.,Mobility Problems,Clinical Notes
Generalized erythema and pruritus noted; suspect atopic dermatitis.,Skin Irritations,Clinical Notes
My dog has Legg-Calve-Perthes condition.,Mobility Problems,Owner Observation
"My finch is wheezing and clicking, suspect air sac mites.",Parasites,Owner Observation
Cat vomited what looks like coffee grounds.,Digestive Issues,Owner Observation
Administer tramadol for breakthrough pain.,Mobility Problems,Clinical Notes
Rhipicephalus sanguineus tick removed. Discuss Ehrlichia/Babesia prevention.,Parasites,Clinical Notes
Recommend Cytopoint injection for canine atopic dermatitis.,Skin Irritations,Clinical Notes
"My bird has air sac mites, causing breathing difficulty.",Parasites,Owner Observation
Provide handout on heartworm condition.,Parasites,Clinical Notes
Cat's paws are swollen and red.,Skin Irritations,Owner Observation
"Medical management of CCL tear includes weight loss, activity modification, NSAIDs, and physical therapy.",Mobility Problems,Clinical Notes
Otodectes cynotis (ear mites) identified on microscopic examination of debris.,Ear Infections,Clinical Notes
Pain management crucial; prescribe NSAIDs or other analgesics.,Ear Infections,Clinical Notes
Monitor for systemic signs of illness with severe infections.,Ear Infections,Clinical Notes
Dog has yeast overgrowth in his ears.,Ear Infections,Owner Observation
Kitten has persistent diarrhea despite deworming.,Parasites,Owner Observation
Staging for suspected osteosarcoma: Thoracic radiographs (3 views) show no evidence of pulmonary metastasis.,Mobility Problems,Clinical Notes
Serum allergy testing (IgE) performed; results pending.,Skin Irritations,Clinical Notes
"Monitor for development of secondary infections (bacterial, yeast).",Skin Irritations,Clinical Notes
"Superficial skin scraping positive for Sarcoptes scabiei var. canis mites and eggs. Highly contagious, zoonotic potential.",Parasites,Clinical Notes
My cat vomited pinkish foam.,Digestive Issues,Owner Observation
My guinea pig is scratching so much it has open sores.,Parasites,Owner Observation
Canine facial eosinophilic furunculosis suspected based on acute onset muzzle swelling/lesions.,Skin Irritations,Clinical Notes
My dog gets diarrhea whenever we have visitors or travel.,Digestive Issues,Owner Observation
My dog's ear infection seemed better but came right back after stopping meds.,Ear Infections,Owner Observation
Facial nerve paralysis present; assess prognosis for recovery.,Ear Infections,Clinical Notes
Facial fold pyoderma; advise owner on daily cleaning and hygiene.,Skin Irritations,Clinical Notes
"Check for electrolyte abnormalities (hypokalemia, hyponatremia).",Digestive Issues,Clinical Notes
Cat suddenly refuses to eat her usual food.,Digestive Issues,Owner Observation
My dog has hives that appear and disappear quickly.,Skin Irritations,Owner Observation
"Guinea pig seems weak and is losing weight, maybe internal parasites?",Parasites,Owner Observation
"Ferret is lethargic and not eating, vomited once.",Digestive Issues,Owner Observation
My dog stumbles frequently.,Mobility Problems,Owner Observation
My dog's ear problems always seem worse during allergy season.,Ear Infections,Owner Observation
Myelogram reveals extradural spinal cord compression at T13-L1.,Mobility Problems,Clinical Notes
Provide clear written estimate outlining costs for proposed diagnostic and treatment plan.,Digestive Issues,Clinical Notes
"My kitten is covered in fleas, they are crawling all over.",Parasites,Owner Observation
Roundworm infection; start pyrantel therapy.,Parasites,Clinical Notes
My dog keeps gulping and seems uncomfortable after eating.,Digestive Issues,Owner Observation
My cat has symmetrical hair loss on both flanks.,Skin Irritations,Owner Observation
Rabbit has spondylosis.,Mobility Problems,Owner Observation
Giardia ELISA test positive. Initiate fenbendazole therapy and advise environmental decontamination.,Digestive Issues,Clinical Notes
Chronic arthritis; start laser therapy.,Mobility Problems,Clinical Notes
Cat has crusty ear tips.,Ear Infections,Owner Observation
The skin inside my dog's ear canals looks bright red and sore.,Ear Infections,Owner Observation
Fecal flotation negative for ova and parasites.,Digestive Issues,Clinical Notes
My dog sometimes trips over his own feet.,Mobility Problems,Owner Observation
"Use selamectin (Revolution) for fleas, heartworm, ear mites, sarcoptic mange, some ticks, roundworms, hookworms (depending on species).",Parasites,Clinical Notes
My rabbit has bald patches on its nose from rubbing the cage.,Skin Irritations,Owner Observation
Yeast otitis confirmed; prescribe miconazole drops.,Ear Infections,Clinical Notes
Hamster's skin looks red and irritated inside its cheek pouches.,Skin Irritations,Owner Observation
"My dog's paw pads feel rough and crusty, almost like horns.",Skin Irritations,Owner Observation
My cat has bald patches above her eyes.,Skin Irritations,Owner Observation
"Differentiate Taenia vs. Dipylidium proglottids if possible (Dipylidium motile, Taenia rectangular).",Parasites,Clinical Notes
"Discuss use of supportive harnesses (e.g., Help'EmUp) or custom carts/wheelchairs for non-ambulatory patients.",Mobility Problems,Clinical Notes
"Vestibular signs (nystagmus, ataxia, head tilt) present; rule out otitis interna vs. central causes.",Ear Infections,Clinical Notes
Chemotherapy protocol discussed for osteosarcoma.,Mobility Problems,Clinical Notes
Serum folate levels checked to assess proximal small intestinal function.,Digestive Issues,Clinical Notes
Dog's ear infection smells like Pseudomonas (sickly sweet).,Ear Infections,Owner Observation
Joint stiffness; prescribe weight loss plan.,Mobility Problems,Clinical Notes
Post-operative care instructions provided for TECA-BO.,Ear Infections,Clinical Notes
"Muscle atrophy noted in hind limbs, particularly quadriceps and gluteals.",Mobility Problems,Clinical Notes
Assess for neurological signs associated with aberrant parasite migration.,Parasites,Clinical Notes
"Chronic history of intermittent vomiting and weight loss in older feline. Differentials include IBD, lymphoma, hyperthyroidism.",Digestive Issues,Clinical Notes
"Dog has dry, brittle fur and flaky skin.",Skin Irritations,Owner Observation
Kidney values elevated; assess hydration and rule out primary renal condition.,Digestive Issues,Clinical Notes
Instruct owner on proper technique for manual bladder expression.,Mobility Problems,Clinical Notes
Ferret has crusty skin around its eyes and chin.,Skin Irritations,Owner Observation
Rabbit is lethargic and dehydrated (skin tents when pinched).,Digestive Issues,Owner Observation
"Acute moist dermatitis ('hot spot') noted in right cervical region; clip, clean, initiate topical therapy.",Skin Irritations,Clinical Notes
Rabbit has severe crusting in ears diagnosed as mites.,Ear Infections,Owner Observation
"Chronic changes noted in ear canal: hyperplasia, stenosis, calcification.",Ear Infections,Clinical Notes
My puppy seems bloated and is trying to vomit but nothing comes up.,Digestive Issues,Owner Observation
Hamster has wetness and staining around its tail.,Skin Irritations,Owner Observation
"Rabbit's fur is matted, and the skin underneath looks irritated and flaky.",Parasites,Owner Observation
"Neurological exam: Conscious proprioceptive deficits x 4 limbs, UMN signs hind limbs, neck pain on ventral flexion. Suspect cervical lesion.",Mobility Problems,Clinical Notes
"Fecal culture positive for Salmonella spp.; reportable condition, discuss zoonotic risk, treat if systemic signs.",Digestive Issues,Clinical Notes
Guinea pig is dragging its hind end.,Mobility Problems,Owner Observation
Monitor urine output as indicator of hydration and kidney function.,Digestive Issues,Clinical Notes
Spinal palpation elicits pain in thoracolumbar region; suspect intervertebral disc condition (IVDD).,Mobility Problems,Clinical Notes
My cat is sensitive to being petted along her back.,Skin Irritations,Owner Observation
Puppy has pustules and redness on his chin and muzzle.,Skin Irritations,Owner Observation
My dog is trying to eat grass frantically.,Digestive Issues,Owner Observation
My rabbit is scratching its chin and neck area frequently.,Skin Irritations,Owner Observation
Dysbiosis likely contributing to chronic diarrhea.,Digestive Issues,Clinical Notes
Multiple lipomas palpated in subcutaneous tissue; monitor size and number.,Skin Irritations,Clinical Notes
"Dog's ear infection has a particularly nasty, 'rotten' smell.",Ear Infections,Owner Observation
My cat has both fleas and tapeworm segments.,Parasites,Owner Observation
Discuss importance of treating all pets in household for fleas/mites.,Parasites,Clinical Notes
Cat has thinning hair around her eyes and face.,Parasites,Owner Observation
Ununited anconeal process (UAP) visible on flexed lateral elbow radiograph.,Mobility Problems,Clinical Notes
My dog's skin looks bruised in areas without any known trauma.,Skin Irritations,Owner Observation
My ferret's ears look red inside.,Ear Infections,Owner Observation
"My bird is restless and picking at its feathers, I think I see tiny bugs.",Parasites,Owner Observation
"Dog has severe flea infestation, requiring immediate intervention.",Parasites,Owner Observation
"Noticed some creamy, yellow discharge draining from my puppy's ear.",Ear Infections,Owner Observation
My dog's nails are scuffing the ground when he walks.,Mobility Problems,Owner Observation
My dog has bad breath that smells like feces.,Digestive Issues,Owner Observation
Dog has diarrhea containing undigested food particles.,Digestive Issues,Owner Observation
My lovebird is chewing its feathers down to the skin.,Parasites,Owner Observation
Recommend endoscopic biopsies for definitive diagnosis of chronic enteropathy.,Digestive Issues,Clinical Notes
My puppy has accidents in the house (diarrhea) overnight.,Digestive Issues,Owner Observation
History of ingesting foreign material (child's toy) 2 days ago. Abdominal radiographs recommended.,Digestive Issues,Clinical Notes
Ferret is weak in the hind limbs.,Mobility Problems,Owner Observation
Repeat cytology at recheck appointment.,Ear Infections,Clinical Notes
Excoriations and erythema noted around the collar area; rule out contact irritation vs. FAD.,Skin Irritations,Clinical Notes
Fecal flotation positive for Toxocara canis (roundworm) eggs.,Parasites,Clinical Notes
Advise cleaning environment thoroughly to remove Coccidia oocysts.,Parasites,Clinical Notes
My dog favors one leg consistently.,Mobility Problems,Owner Observation
Bacterial otitis with pain; add anti-inflammatory.,Ear Infections,Clinical Notes
Microfilaria check (Knott's test or filter test) positive.,Parasites,Clinical Notes
Ferret has diarrhea and seems very weak.,Digestive Issues,Owner Observation
My dog has hair loss that seems to follow a seasonal pattern.,Skin Irritations,Owner Observation
Erythema and scaling on muzzle; test for demodex.,Skin Irritations,Clinical Notes
"Ferret has black, tarry stools, could it be from parasites?",Parasites,Owner Observation
"Chronic intermittent vomiting in feline; consider IBD, food allergy, lymphoma.",Digestive Issues,Clinical Notes
Recommend trial of therapeutic laser treatments 2-3 times weekly.,Mobility Problems,Clinical Notes
"My dog has recurring ear infections, vet suspects underlying mites.",Parasites,Owner Observation
"Assess hydration status (skin turgor, mucous membranes, CRT).",Digestive Issues,Clinical Notes
"My cat licks her belly raw, especially after eating certain foods.",Skin Irritations,Owner Observation
Assess patient's pain level using validated pain scale.,Digestive Issues,Clinical Notes
"Ferret has dark, tarry stool, could parasites cause this?",Parasites,Owner Observation
Dog has oily skin and recurrent skin infections.,Skin Irritations,Owner Observation
"My puppy is constantly hungry but not gaining weight, has loose stools.",Digestive Issues,Owner Observation
Found several attached ticks on my dog after hiking.,Parasites,Owner Observation
"Noticed thickened, dark skin in my dog's armpits that seems itchy.",Skin Irritations,Owner Observation
Palpable thickening of stifle joint capsule (medial buttress) in chronic CCL condition.,Mobility Problems,Clinical Notes
Prescribed topical enrofloxacin/silver sulfadiazine suspension based on previous culture results.,Ear Infections,Clinical Notes
My dog has bumps between his toes.,Skin Irritations,Owner Observation
My cat started shaking her head after a groomer visit.,Ear Infections,Owner Observation
My cat has what looks like walking dandruff.,Parasites,Owner Observation
My rabbit has severe crusting in ears from Psoroptes mites.,Parasites,Owner Observation
Screen for Cushing's condition in dogs with recurrent infections and other suggestive signs.,Ear Infections,Clinical Notes
Demonstrate proper ear cleaning technique and medication instillation to owner.,Ear Infections,Clinical Notes
Ununited anconeal process (UAP) identified on elbow radiographs.,Mobility Problems,Clinical Notes
Dog has ticks attached deep inside his ear canals.,Parasites,Owner Observation
Schedule follow-up for heartworm treatment stages.,Parasites,Clinical Notes
Obtain accurate body weight before prescribing any parasite control product.,Parasites,Clinical Notes
"Dog has chronic skin issues, vet suspects Demodex mites.",Parasites,Owner Observation
Consider referral for acupuncture or veterinary spinal manipulative therapy (VSMT).,Mobility Problems,Clinical Notes
Rabbit seems weak all over.,Mobility Problems,Owner Observation
Administer praziquantel injection (Droncit) for cestode infection.,Parasites,Clinical Notes
Culture result: Pseudomonas aeruginosa sensitive only to amikacin and ticarcillin. Compounded topical therapy needed.,Ear Infections,Clinical Notes
Hamster has fecal staining and wetness around the tail and belly.,Digestive Issues,Owner Observation
"Dog has chronic skin problems, vet diagnosed generalized Demodex.",Parasites,Owner Observation
"My dog takes very short, stiff steps with his front legs.",Mobility Problems,Owner Observation
Fungal culture positive for Microsporum canis; initiate systemic antifungal (itraconazole) and topical therapy.,Skin Irritations,Clinical Notes
My dog lags behind on walks and seems reluctant to continue.,Mobility Problems,Owner Observation
"My rabbit has very large, soft cecotropes that are uneaten.",Digestive Issues,Owner Observation
Malassezia dermatitis confirmed via cytology; treat with ketoconazole shampoo.,Skin Irritations,Clinical Notes
My dog gets recurring skin infections in the folds of his face.,Skin Irritations,Owner Observation
My ferret is scratching intensely at its ears.,Ear Infections,Owner Observation
My rabbit got diarrhea after I gave him too much fruit.,Digestive Issues,Owner Observation
"My dog seems wobbly and uncoordinated, especially in the rear.",Mobility Problems,Owner Observation
Guinea pig has stopped producing fecal pellets.,Digestive Issues,Owner Observation
OFA radiographs submitted for hip/elbow certification.,Mobility Problems,Clinical Notes
My cat doesn't jump onto the furniture anymore.,Mobility Problems,Owner Observation
"My cat has fleas, causing miliary dermatitis.",Parasites,Owner Observation
"Otitis media common in rabbits, often associated with Pasteurella multocida. Skull radiographs recommended.",Ear Infections,Clinical Notes
Guinea pig is losing large clumps of hair.,Skin Irritations,Owner Observation
Puppy got diarrhea right after we changed his food brand.,Digestive Issues,Owner Observation
Provide estimate for diagnostic tests and treatment.,Ear Infections,Clinical Notes
"Check electrolytes (Na, K, Cl) and acid-base status (blood gas). Correct abnormalities.",Digestive Issues,Clinical Notes
"Rabbit is lethargic and not eating well, possibly due to pain.",Mobility Problems,Owner Observation
Recommend regular ear cleaning with appropriate solution.,Skin Irritations,Clinical Notes
Puppy's skin is peeling slightly after a bath with new shampoo.,Skin Irritations,Owner Observation
"Aortic thromboembolism (ATE) suspected in cat with acute hind limb paralysis, pain, cold extremities, absent femoral pulses.",Mobility Problems,Clinical Notes
"Administered long-acting otic preparation (e.g., Osurnia, Claro) in clinic.",Ear Infections,Clinical Notes
"Rabbit has white, powdery substance accumulating in its fur.",Skin Irritations,Owner Observation
My puppy has soft stool ever since we got him.,Digestive Issues,Owner Observation
Provide detailed instructions for E-tube feeding and care.,Digestive Issues,Clinical Notes
Monitor for adverse reactions to antiparasitic medications.,Parasites,Clinical Notes
Guinea pig seems bloated and uncomfortable.,Digestive Issues,Owner Observation
Pseudomonas aeruginosa cultured from ear discharge; select antibiotic based on sensitivity profile.,Ear Infections,Clinical Notes
"My dog seems to have heartburn (gulping, licking air).",Digestive Issues,Owner Observation
Referral to veterinary neurologist recommended due to central neurological signs.,Ear Infections,Clinical Notes
"PennHIP distraction index (DI) measured at 0.6 (right) and 0.7 (left), indicating significant hip laxity.",Mobility Problems,Clinical Notes
Rabbit has thick crusts forming on its skin.,Skin Irritations,Owner Observation
"Recommend feeding smaller, more frequent meals.",Digestive Issues,Clinical Notes
Advise owner on importance of completing full course of antibiotics.,Skin Irritations,Clinical Notes
Bacterial and yeast otitis; start long-term therapy.,Ear Infections,Clinical Notes
Intussusception palpated/visualized on ultrasound; surgical correction needed.,Digestive Issues,Clinical Notes
Treat secondary skin infections resulting from parasite infestation.,Parasites,Clinical Notes
"Initiate NSAID therapy (e.g., carprofen, meloxicam) for pain and inflammation.",Mobility Problems,Clinical Notes
"Discuss environmental factors (humidity, swimming).",Ear Infections,Clinical Notes
Proprioceptive training exercises recommended.,Mobility Problems,Clinical Notes
Zinc-responsive dermatosis diagnosed based on clinical signs and breed; initiate zinc supplementation.,Skin Irritations,Clinical Notes
Cat has painful swelling around multiple joints.,Mobility Problems,Owner Observation
"Advise strict flea control for all pets in household, year-round.",Skin Irritations,Clinical Notes
My cat seems to have fleas that aren't killed by her usual spot-on.,Parasites,Owner Observation
Treat secondary infections aggressively.,Ear Infections,Clinical Notes
Administer ondansetron injection for refractory vomiting.,Digestive Issues,Clinical Notes
"Use of assistive devices (e.g., Help'EmUp Harness, wheelchair) discussed.",Mobility Problems,Clinical Notes
Dog’s ears are crusty and smell like mold.,Ear Infections,Owner Observation
Dog has difficulty posturing to urinate or defecate.,Mobility Problems,Owner Observation
Initiate doxycycline therapy for anaplasmosis/ehrlichiosis/Lyme condition.,Parasites,Clinical Notes
Guinea pig has dandruff and seems uncomfortable when petted.,Skin Irritations,Owner Observation
Ferret has bright green diarrhea.,Digestive Issues,Owner Observation
"Kitten is sneezing and has discharge, could it be lungworms?",Parasites,Owner Observation
Cat is licking the fur off her legs.,Skin Irritations,Owner Observation
My cat has bumps under the skin that can be felt but not easily seen.,Skin Irritations,Owner Observation
Lameness in front limb; radiograph for osteophyte.,Mobility Problems,Clinical Notes
Rabbit has pus draining from one ear.,Ear Infections,Owner Observation
"Prescribe fenbendazole for Giardia, roundworms, hookworms, whipworms, some tapeworms (Taenia).",Parasites,Clinical Notes
Auscultation reveals hyperactive borborygmi.,Digestive Issues,Clinical Notes
Moist dermatitis secondary to saliva staining in facial folds; recommend daily cleaning with antiseptic wipes.,Skin Irritations,Clinical Notes
"Fly strike (myiasis) present in debilitated rabbit. Clip fur, lavage wound, manually remove all maggots. Address underlying cause.",Parasites,Clinical Notes
"Dog's ear canal lining looks thick and bumpy, like cobblestones.",Ear Infections,Owner Observation
Guinea pig has difficulty moving after a fall.,Mobility Problems,Owner Observation
Check thyroid levels in dogs with recurrent infections.,Ear Infections,Clinical Notes
My rabbit has matted fur and sores underneath on its hindquarters.,Skin Irritations,Owner Observation
My bird has Giardia.,Parasites,Owner Observation
Suspect soft tissue injury (ligament sprain or muscle strain) based on localized swelling/pain and negative radiographs.,Mobility Problems,Clinical Notes
Aural hematoma present on left pinna; discuss treatment options (drainage vs. surgery).,Ear Infections,Clinical Notes
Discuss role of humidity and moisture in exacerbating otitis.,Ear Infections,Clinical Notes
Performed myringotomy and collected middle ear fluid for culture and cytology.,Ear Infections,Clinical Notes
"Peripheral vestibular signs present (horizontal nystagmus fast phase away from lesion, head tilt toward lesion, ataxia). Likely otitis interna.",Ear Infections,Clinical Notes
Endoscopy with biopsies recommended for definitive diagnosis of IBD/lymphoma.,Digestive Issues,Clinical Notes
Utilize Canine Brief Pain Inventory (CBPI) or Feline Musculoskeletal Pain Index (FMPI) to monitor treatment response.,Mobility Problems,Clinical Notes
My new kitten has a really round belly and doesn't seem to be growing much.,Parasites,Owner Observation
Cat has difficulty navigating stairs.,Mobility Problems,Owner Observation
"My cat's fur looks dull and unkempt, and she has flakes.",Skin Irritations,Owner Observation
My dog slid on the ice and has been limping on his front leg since.,Mobility Problems,Owner Observation
Solar dermatitis on white-haired pinnae; advise sun avoidance and sunscreen.,Skin Irritations,Clinical Notes
"Guinea pig has swollen, painful feet.",Mobility Problems,Owner Observation
Rabbit has redness and hair loss on the soles of its hind feet.,Skin Irritations,Owner Observation
Lichenification and hyperpigmentation of axillary and inguinal regions; chronic allergic changes.,Skin Irritations,Clinical Notes
Kitten has hookworms according to the fecal test.,Parasites,Owner Observation
Dog is rubbing his face on the carpet constantly.,Skin Irritations,Owner Observation
My puppy has developed a swollen muzzle and face.,Skin Irritations,Owner Observation
"Utilize validated pain scoring system (e.g., CSU Canine Acute Pain Scale) to guide analgesic therapy.",Digestive Issues,Clinical Notes
Hip dysplasia confirmed; start anti-inflammatory.,Mobility Problems,Clinical Notes
Dermacentor variabilis tick removed; advise monitoring for signs of RMSF.,Parasites,Clinical Notes
Tapeworm segments (Dipylidium caninum) observed on perineum; associated with flea infestation.,Parasites,Clinical Notes
My dog has significant muscle wasting in his hind end.,Mobility Problems,Owner Observation
Impression smear from lesion shows acantholytic cells; suspect pemphigus.,Skin Irritations,Clinical Notes
Cat has inflammation and discharge around her nail beds.,Skin Irritations,Owner Observation
My dog has ear mites confirmed by microscopic exam.,Parasites,Owner Observation
Pediculosis (Linognathus setosus - dog sucking louse) identified. Treat with fipronil or selamectin.,Parasites,Clinical Notes
Cat keeps vomiting small amounts of bile.,Digestive Issues,Owner Observation
My dog has Valley Fever affecting his bones.,Mobility Problems,Owner Observation
"Cytology findings recorded: Yeast score (0-4+), Cocci score (0-4+), Rod score (0-4+), Cell types (neutrophils, epithelial cells).",Ear Infections,Clinical Notes
"My dog has tapeworms, probably from fleas.",Parasites,Owner Observation
Dog has developed resistance to previous ear medications.,Ear Infections,Owner Observation
"Mast cell tumor suspected based on raised, erythematous nodule; FNA reveals granulated mast cells.",Skin Irritations,Clinical Notes
"Document type of tick removed, date, and location on patient.",Parasites,Clinical Notes
Skin fragility noted; test for FIV/FeLV in feline patient.,Skin Irritations,Clinical Notes
My dog has a secondary skin infection from scratching flea bites.,Parasites,Owner Observation
There are little white things that look like rice grains stuck to the fur around my dog's anus.,Parasites,Owner Observation
Cat has started eliminating outside the litter box.,Mobility Problems,Owner Observation
Rule out hyperadrenocorticism via ACTH stimulation test or LDDST.,Skin Irritations,Clinical Notes
Ferret has lost a lot of weight over the last month.,Digestive Issues,Owner Observation
Hepatic encephalopathy suspected due to neurological signs and liver dysfunction.,Digestive Issues,Clinical Notes
Discuss weight management; obesity exacerbates mobility issues.,Mobility Problems,Clinical Notes
My cat fights me and cries when I try to put ear drops in.,Ear Infections,Owner Observation
My cat has bumps along her spine.,Skin Irritations,Owner Observation
Ensure owner understands treatment plan and follow-up requirements.,Skin Irritations,Clinical Notes
Cat is losing weight despite having a good appetite.,Digestive Issues,Owner Observation
Ferret seems painful when his jaw area is touched.,Ear Infections,Owner Observation
"My rabbit has thick, flaky crusts inside both ears.",Ear Infections,Owner Observation
My ferret's inner ear flaps look red and irritated.,Ear Infections,Owner Observation
Prescribe tylosin powder for suspected antibiotic-responsive diarrhea.,Digestive Issues,Clinical Notes
Pet’s ears are red and have a musty odor.,Ear Infections,Owner Observation
Biopsy report confirms mast cell tumor; refer for surgical excision.,Skin Irritations,Clinical Notes
Guinea pig has swollen feet (bumblefoot).,Mobility Problems,Owner Observation
"Large, fluctuant aural hematoma on concave surface of right pinna. Surgical correction recommended.",Ear Infections,Clinical Notes
"My ferret’s belly has red, irritated spots.",Skin Irritations,Owner Observation
Multiple deep skin scrapings positive for Demodex injai mites (adults and immature forms).,Parasites,Clinical Notes
Ticks embedded in fur; remove and treat.,Parasites,Clinical Notes
My rabbit has white flakes in its ears.,Ear Infections,Owner Observation
Flea dirt present on coat combing; Ctenocephalides felis infestation confirmed.,Parasites,Clinical Notes
Pre- and post-prandial bile acids significantly elevated; consistent with PSS or severe liver dysfunction.,Digestive Issues,Clinical Notes
"Treat Cheyletiella infestation with lime sulfur dips, fipronil, or selamectin. Treat environment.",Parasites,Clinical Notes
Dog has intermittent episodes of vomiting and diarrhea.,Digestive Issues,Owner Observation
"Large bowel diarrhea characterized by increased frequency, tenesmus, mucus, and hematochezia.",Digestive Issues,Clinical Notes
Perform thorough oral exam to rule out dental condition contributing to ear pain.,Ear Infections,Clinical Notes
Otoscopic exam reveals Otodectes cynotis mites bilaterally; characteristic dark debris present.,Parasites,Clinical Notes
Rabbit's fur is matted and it seems itchy underneath.,Parasites,Owner Observation
Liver enzymes elevated; consider primary liver condition or secondary reaction.,Digestive Issues,Clinical Notes
Intradermal allergy testing scheduled.,Skin Irritations,Clinical Notes
My dog's ears smell yeasty and the skin inside looks thickened.,Skin Irritations,Owner Observation
Dog is less active and sleeps more than usual.,Mobility Problems,Owner Observation
Dog started limping on his front left leg after playing.,Mobility Problems,Owner Observation
My guinea pig has crusty lesions near its mouth.,Skin Irritations,Owner Observation
My dog's anal area is red and itchy; he scoots on the carpet.,Skin Irritations,Owner Observation
Repeat fecal examination in 2-4 weeks to ensure parasite clearance.,Parasites,Clinical Notes
Tympanic membrane appears ruptured on otoscopic exam. Avoid potentially ototoxic cleaners/medications.,Ear Infections,Clinical Notes
Review patient's history for previous ear treatments and responses.,Ear Infections,Clinical Notes
"I saw live, wriggling worms in my puppy's fresh poop.",Parasites,Owner Observation
Radiographs show bilateral stifle effusion.,Mobility Problems,Clinical Notes
Acantholytic cells identified on cytology; highly suspicious for Pemphigus foliaceus.,Skin Irritations,Clinical Notes
My dog's joints make clicking or popping sounds.,Mobility Problems,Owner Observation
Ferret is having difficulty climbing up ramps in his cage.,Mobility Problems,Owner Observation
My dog acts hungry but then sniffs his food and walks away.,Digestive Issues,Owner Observation
Ensure appropriate medication volume is prescribed.,Ear Infections,Clinical Notes
Dog is straining in the yard but only passing small bits of liquid stool.,Digestive Issues,Owner Observation
Guinea pig has visible lice crawling on its hair shafts.,Parasites,Owner Observation
"Dog has lost his appetite and seems nauseous (licking lips, drooling).",Digestive Issues,Owner Observation
Systemic antibiotics indicated for otitis media/interna or severe otitis externa.,Ear Infections,Clinical Notes
"Arthrocentesis performed on swollen stifle; cytology reveals septic suppurative inflammation (high neutrophils, intracellular bacteria).",Mobility Problems,Clinical Notes
Papular rash on hindquarters; antihistamine trial.,Skin Irritations,Clinical Notes
My rabbit has developed a large swelling under its jaw.,Skin Irritations,Owner Observation
"Cat's face looks droopy on one side, started with the ear trouble.",Ear Infections,Owner Observation
"My ferret is itchy, especially around his neck and shoulders.",Parasites,Owner Observation
Rabbit is shaking its head and digging at its ears.,Parasites,Owner Observation
"Check for concurrent endocrine conditions (Cushing's, diabetes).",Skin Irritations,Clinical Notes
"Review current medications for potential GI side effects (e.g., NSAIDs, steroids, certain antibiotics).",Digestive Issues,Clinical Notes
My puppy seems stiff when he wakes up.,Mobility Problems,Owner Observation
Clostridium perfringens enterotoxicosis suspected; check fecal toxin levels.,Digestive Issues,Clinical Notes
Use selamectin/sarolaner (Revolution Plus) for broad-spectrum feline parasite control.,Parasites,Clinical Notes
Discuss long-term expectations for function and potential for recurrence/progression.,Mobility Problems,Clinical Notes
Ensure owner understands medication schedule and potential side effects.,Mobility Problems,Clinical Notes
Educate owner on parasite life cycles and prevention strategies.,Parasites,Clinical Notes
"Closed, transverse fracture of distal tibia identified. Splint applied, discuss surgical fixation.",Mobility Problems,Clinical Notes
Document specific parasite identified and treatment administered in medical record.,Parasites,Clinical Notes
Asymmetrical thigh circumference measured.,Mobility Problems,Clinical Notes
My dog's ear flap (pinna) is swollen like a balloon.,Ear Infections,Owner Observation
